method,feat,seq_id,-xent@16,acc 8/16,acc 1/16
median,none,71,-0.9453182,0.75736964,0.2154195
median,none,72,-0.61022323,0.94311374,0.41616768
median,none,73,-0.83080125,0.84131736,0.18263473
median,none,74,-0.5750062,0.98802394,0.24550898
median,none,75,-0.99909794,0.47191012,0.06741573
median,none,76,-0.99740434,0.5020243,0.0708502
median,none,77,-0.99864274,0.5,0.04945055
median,none,78,-0.99692094,0.42335767,0.08029197
median,none,79,-1.0028481,0.5084175,0.09427609
median,none,80,-0.9975506,0.5388349,0.04368932
median,none,81,-0.9989192,0.476,0.072
median,none,82,-0.9980802,0.524,0.054
median,none,83,-0.983329,0.61139894,0.0880829
median,none,84,-0.7674246,0.8815789,0.25
median,none,85,-0.9605691,0.7083333,0.1875
median,none,86,-0.6422589,0.921875,0.515625
median,none,87,-1.0589155,0.5507246,0.18115942
median,none,88,-1.0401429,0.63372093,0.15116279
median,none,89,-0.8172418,0.8787879,0.3030303
median,none,90,-1.2026618,0.6504065,0.07317073
median,none,91,-0.66210955,0.82051283,0.34358975
median,none,92,-0.92460215,0.70914125,0.17728531
median,none,93,-0.9300067,0.7579618,0.21019109
median,none,94,-0.9919217,0.5657143,0.08
median,none,95,-0.96851,0.6536585,0.09756097
median,none,96,-1.0011597,0.59310347,0.062068965
median,none,97,-0.9948348,0.6,0.083333336
median,none,98,-0.9742938,0.6628571,0.16
median,none,99,-1.0027497,0.5061425,0.1056511
median,none,100,-1.0141326,0.53409094,0.06818182
median,none,101,-1.005689,0.5683453,0.107913665
median,none,102,-0.66156745,0.9115385,0.41538462
median,none,103,-0.6478111,0.84347826,0.41304347
median,none,104,-0.6597492,0.9366197,0.35211268
median,none,105,-0.70328647,0.81463414,0.3512195
median,none,106,-0.7321484,0.8787879,0.3409091
median,none,107,-0.60057527,0.77310926,0.5042017
median,none,108,-0.6585271,0.8862974,0.37900874
median,none,109,-0.63758343,0.83295196,0.44851258
median,none,110,-0.80625266,0.82835823,0.31343284
median,none,111,-0.639405,0.82312924,0.42857143
median,none,112,-0.6806426,0.8637993,0.3655914
median,none,113,-0.8132526,0.87,0.274
median,none,114,-0.8001002,0.856,0.22
median,none,115,-0.8162067,0.85106385,0.26595744
median,none,116,-0.90624064,0.7326203,0.22459893
median,none,117,-0.88057166,0.7364341,0.18604651
median,none,118,-0.9049348,0.74666667,0.21666667
median,none,119,-0.8895524,0.7652439,0.18902439
median,none,120,-0.9379483,0.7058824,0.16862746
median,none,121,-0.9553224,0.6826923,0.10576923
median,none,122,-0.8071339,0.830303,0.3090909
median,none,123,-0.89896846,0.7815126,0.14285715
median,none,124,-0.93561244,0.74380165,0.11570248
median,none,125,-0.9727986,0.60645163,0.13870968
median,none,126,-0.96176493,0.67479676,0.10569106
median,none,127,-0.8239274,0.87058824,0.2647059
median,none,128,-0.6628591,0.9126984,0.2777778
median,none,129,-0.7863352,0.8410405,0.27745664
median,none,130,-0.93435824,0.72469634,0.12955466
median,none,131,-0.8051801,0.78,0.248
median,none,132,-0.87134063,0.77692306,0.16153847
median,none,133,-0.7126209,0.8513514,0.41216215
median,none,134,-0.5394213,0.9517685,0.45659164
median,none,135,-0.60535246,0.9324324,0.4436937
median,none,136,-0.5324873,0.944,0.516
median,none,137,-0.33383104,0.9574468,0.7659575
median,none,138,-0.7252299,0.9236277,0.31264916
median,none,139,-0.9564918,0.67,0.154
median,none,140,-0.937082,0.744,0.132
median,none,141,-0.927604,0.72897196,0.12772585
median,none,142,-0.98775977,0.61650485,0.0776699
median,none,143,-1.0003499,0.62222224,0.096296296
median,none,144,-0.9217928,0.7723577,0.13414635
median,none,145,-0.95490223,0.67391306,0.13043478
median,none,146,-0.99263114,0.6048387,0.09677419
median,none,147,-0.987433,0.6,0.09047619
median,none,148,-0.95434165,0.666,0.154
median,none,149,-0.9896066,0.604,0.104
median,none,150,-0.9617903,0.6594203,0.12801932
permute,location_cand,0,-0.66571826,0.87635577,0.38394794
permute,location_cand,1,-0.7582631,0.8042553,0.3531915
permute,location_cand,2,-0.6804286,0.9206349,0.4563492
